time,GPU0,GPU1,GPU2,GPU3,GPU4,GPU5,GPU6,GPU7
206.00436421204358,69.867,67.375,71.087,71.45,74.208,60.887,73.248,59.887
207.00436468981206,65.686,61.37,66.842,66.627,63.93,59.736,134.479,62.917
208.00436513032764,65.35,67.984,68.656,72.33,72.036,64.54,156.273,61.105
209.00436567049474,66.561,63.526,73.783,80.477,72.994,88.774,72.036,59.887
210.00436612032354,65.283,66.774,73.783,69.345,65.82,89.986,74.469,59.614
211.00436668097973,68.054,68.312,68.992,78.371,72.036,66.561,66.355,62.525
212.00436745397747,66.22,65.009,72.572,65.013,73.53,75.017,72.646,59.887
213.00436804629862,65.35,71.615,78.246,66.627,70.22,60.558,74.132,59.826
214.0043683797121,72.243,64.615,68.726,64.466,69.939,70.149,193.667,99.037
215.0043689031154,67.171,61.916,77.972,64.401,103.59,73.173,70.823,62.525
216.00436925701797,65.35,69.724,70.823,75.653,65.416,61.231,65.753,60.824
217.0043697822839,67.711,66.152,70.149,70.225,69.407,68.452,70.823,61.105
218.0043703885749,67.711,62.852,78.856,69.62,69.681,68.452,70.823,65.283
219.00437097530812,67.102,70.405,80.95,67.789,64.204,62.981,65.753,68.851
220.0043714614585,74.94,66.22,70.149,71.113,69.133,62.653,66.629,60.161
221.00437185913324,67.711,67.915,76.48,71.113,69.61,62.717,68.452,68.515
222.00437240861356,65.686,61.433,76.84,68.127,64.54,198.534,69.939,69.124
223.0043728761375,67.444,64.943,69.539,71.113,69.336,59.408,63.93,62.589
224.00437336601317,207.425,61.98,74.057,71.113,69.681,60.887,67.85,64.342
225.00437382608652,72.572,61.105,77.644,67.185,65.209,65.959,70.823,67.984
226.00437423586845,77.089,61.433,68.992,74.436,62.443,71.087,70.823,61.433
227.0043748486787,65.959,68.312,80.149,87.123,66.979,161.511,101.493,69.468
228.004490676336,65.35,67.711,79.786,67.185,72.646,59.408,71.762,72.423
229.00449112895876,68.656,61.98,68.054,71.45,62.507,82.848,74.132,61.043
230.00449168216437,65.686,67.033,68.054,71.45,65.416,64.474,66.355,59.887
231.00449215620756,66.842,72.497,68.054,67.789,68.452,66.629,63.93,63.799
232.0044926814735,67.375,63.125,68.054,69.345,71.433,61.231,65.416,64.342
233.00449323654175,76.151,69.397,72.845,69.007,80.231,58.852,70.823,65.824
234.00449372269213,79.704,73.304,72.845,67.514,70.22,59.408,82.246,59.826
235.00449435785413,67.78,62.316,68.656,64.466,66.911,60.01,65.416,101.631
236.00449477508664,74.666,63.526,73.173,110.047,64.204,58.792,64.204,65.551
237.00449516251683,76.761,69.124,72.845,71.378,69.939,65.35,64.814,74.863
238.00477308034897,66.287,61.707,74.393,71.04,76.229,59.134,65.753,64.342
239.00477362889796,74.393,66.774,74.057,69.345,64.88,58.852,64.204,59.887
240.0047741578892,79.103,67.306,73.783,71.725,74.743,60.949,66.629,67.375
241.0047746086493,67.171,65.009,70.75,71.45,71.762,60.285,65.143,62.589
242.0047751693055,76.48,61.105,73.455,68.732,64.814,60.347,72.92,70.941
243.00477568991482,80.95,61.105,72.845,71.725,74.743,59.408,65.143,79.022
244.00477613229305,67.711,61.643,67.444,71.45,70.895,60.62,65.416,62.316
245.0047791302204,72.243,67.102,73.783,66.627,63.93,63.591,64.269,66.425
246.0047796620056,71.962,67.711,73.783,66.229,69.61,61.833,67.513,67.033
247.0047801360488,67.78,63.799,68.992,66.627,70.01,60.949,75.345,62.316
248.00478075165302,72.169,61.105,73.783,68.127,63.93,69.336,75.345,59.887
249.00478121545166,77.363,66.493,77.644,78.292,64.54,85.274,89.65,62.917
250.0047816913575,65.959,63.526,69.539,72.943,63.656,77.089,168.459,65.216
251.00478223711252,65.686,62.525,72.845,66.627,62.507,72.92,70.823,65.216
252.00478287413716,67.78,64.681,78.574,72.613,74.743,79.539,69.062,61.98
253.0047834413126,66.774,63.461,68.382,71.113,100.28,60.949,72.036,65.618
254.00478394888341,65.283,68.585,79.786,65.342,69.61,68.124,73.53,112.507
255.0047846082598,75.472,64.681,68.382,74.36,75.627,80.423,148.93,142.336
256.0047849761322,66.561,62.852,67.171,92.214,64.88,61.833,66.697,110.752
257.0047855665907,65.686,74.317,76.761,110.217,67.308,66.629,65.143,119.592
258.004786121659,68.992,64.007,75.549,74.436,68.796,68.124,69.939,59.887
259.0047866832465,67.711,61.916,67.444,74.161,64.54,64.54,74.819,63.125
260.00478718429804,67.171,67.306,73.783,67.514,62.507,75.017,65.143,75.995
261.00478762667626,67.78,66.774,73.783,77.154,63.656,59.949,63.93,59.887
262.0047880895436,67.102,65.551,68.382,76.871,69.336,68.124,67.239,61.707
263.00478854216635,65.35,66.706,66.842,68.402,72.994,70.22,70.823,65.009
264.00478920619935,65.35,66.774,71.962,71.113,63.656,64.54,70.549,64.408
265.00478977989405,68.656,65.618,69.062,88.525,62.443,64.54,65.416,63.799
266.0047904048115,72.845,61.043,73.173,67.514,69.133,63.656,63.995,59.887
267.0047908704728,72.572,79.295,72.92,78.371,62.443,58.852,63.93,64.681
268.0047915969044,67.711,186.194,68.992,80.752,64.606,69.539,80.752,60.824
269.0047921333462,77.363,66.706,80.067,71.725,87.371,59.675,64.54,65.009
270.00479260087013,77.363,61.707,88.438,87.728,67.919,129.878,100.28,63.526
271.0047931186855,67.171,67.375,68.656,66.627,67.85,95.988,102.048,60.762
272.0047936271876,79.376,67.306,79.786,64.466,69.336,58.852,65.143,66.774
273.0047941962257,83.288,64.007,83.647,66.834,69.61,60.62,68.452,72.095
274.00479478482157,83.975,67.711,70.149,66.627,89.467,61.77,65.959,82.321
275.0047954265028,72.771,75.395,72.572,64.466,62.443,58.852,65.416,60.223
276.0047957813367,66.842,61.707,85.468,97.037,62.17,69.062,72.317,95.191
277.00479620229453,65.686,61.043,67.171,95.262,62.717,60.62,67.239,64.943
278.004796824418,65.283,69.397,66.842,64.804,69.681,58.852,67.85,75.995
279.00479734689,66.561,67.642,66.911,66.902,72.036,63.046,71.159,62.316
280.0047979000956,68.921,61.043,68.992,202.667,63.656,61.559,83.459,67.642
281.0047983434051,73.098,63.125,74.057,71.378,71.506,65.143,63.93,69.194
282.0047987969592,66.561,62.525,73.783,65.955,66.911,68.656,66.911,203.853
283.0047995019704,75.191,61.105,67.444,71.113,62.443,199.676,64.204,67.033
284.00480007752776,77.565,63.526,73.173,76.541,62.507,64.54,71.506,62.316
285.00480049289763,85.742,63.526,73.173,66.627,64.269,59.736,64.54,66.425
286.0048010600731,65.35,61.105,67.444,64.466,62.507,62.443,70.823,67.306
287.0048015071079,74.317,62.589,66.842,66.229,66.911,68.124,64.54,64.342
288.00480191316456,66.774,132.584,66.774,71.725,202.383,60.558,178.752,70.333
289.0048024421558,72.169,67.102,67.78,71.45,62.443,66.561,72.036,62.316
290.0048559391871,73.783,62.917,66.911,65.684,63.721,78.655,94.271,59.887
291.00485644862056,166.124,61.043,66.842,71.04,66.094,59.408,71.159,65.618
292.0048568081111,76.401,61.043,68.656,76.266,68.452,58.524,70.823,63.461
293.005048526451,69.194,62.316,77.644,71.725,63.32,60.347,210.489,60.434
294.0050491169095,65.686,61.105,69.265,71.45,71.232,72.646,70.549,89.558
295.00504966825247,68.992,64.072,73.173,77.484,92.448,78.574,65.416,60.161
296.00567386858165,66.561,194.555,72.845,65.013,63.11,60.01,64.204,90.402
297.00567466113716,65.686,66.774,80.067,72.869,62.443,69.539,66.355,63.19
298.0056752739474,70.149,71.888,79.786,65.409,69.61,77.442,68.452,64.681
299.00567596871406,65.686,75.191,92.08,64.466,72.109,60.62,69.939,70.077
300.0056765526533,65.35,82.867,67.444,66.297,76.229,64.474,65.753,64.007
301.005676955916,66.842,64.072,77.644,71.04,203.87,66.561,69.61,61.043
302.00567783229053,72.497,68.585,87.563,76.541,70.549,63.046,72.92,61.643
303.0056784078479,74.863,73.098,66.842,68.732,63.32,64.54,66.094,59.614
304.00567905511707,172.396,61.043,66.842,72.33,62.443,64.204,65.143,59.887
305.00567964091897,73.173,61.105,68.656,75.048,64.269,78.936,66.094,63.461
306.00568032916635,68.585,62.917,74.94,86.51,69.939,60.285,208.179,69.397
307.0056808972731,72.497,67.102,81.88,71.113,69.61,68.452,71.762,67.375
308.0056815650314,79.985,70.005,73.783,66.022,63.721,74.666,65.143,60.223
309.00568220485,67.444,61.98,73.783,71.113,62.443,59.134,72.317,65.283
310.005682724528,72.572,66.774,67.171,85.623,63.32,124.751,98.794,63.125
311.00568320415914,73.38,68.851,78.574,67.185,202.986,118.139,71.433,65.009
312.00584136042744,65.686,64.615,82.162,71.113,70.292,59.073,71.159,72.771
313.00584183167666,72.497,64.615,74.057,79.589,65.416,60.347,66.355,83.476
314.0058422423899,66.842,63.461,73.783,67.185,62.717,63.93,64.269,65.892
315.0058427648619,72.497,63.125,69.265,64.466,90.68,63.93,63.995,129.48
316.0058457022533,72.572,62.917,69.265,64.401,64.204,60.347,66.629,98.155
317.00584624521434,66.493,65.009,69.062,90.958,69.062,58.852,64.204,65.283
318.0058467993513,65.618,67.306,68.992,71.113,69.062,58.524,63.93,65.216
319.0058474428952,65.283,66.706,73.173,71.04,63.32,60.62,65.82,61.98
320.00584795791656,67.444,63.19,72.845,68.402,65.143,64.54,69.939,65.216
321.00584842357785,72.497,67.102,68.054,64.804,64.88,64.54,73.53,65.216
322.0058488585055,72.845,67.306,73.173,64.401,64.88,63.93,69.062,60.824
323.00584924407303,67.171,62.917,72.845,66.627,62.443,58.852,69.939,60.496
324.0058498913422,72.497,61.916,68.382,71.04,62.443,58.524,69.939,64.615
325.0058503486216,80.258,67.102,73.783,73.548,64.269,60.949,66.911,67.375
326.0058509660885,66.493,61.433,73.783,66.627,69.407,60.682,63.995,60.824
327.0058515444398,65.618,66.774,68.382,71.725,69.61,58.524,69.939,59.614
328.0058519644663,65.686,66.774,73.783,72.33,66.027,60.347,68.124,59.887
329.0058524236083,66.842,62.316,73.783,66.627,75.093,64.54,65.753,60.223
330.005852913484,65.076,61.043,71.087,71.652,63.93,96.087,73.248,59.887
331.0058534434065,65.283,61.105,66.842,82.912,63.32,86.953,80.423,59.887
332.0058539547026,68.382,61.707,66.561,65.409,69.681,67.513,85.555,60.223
333.0058545861393,72.497,61.043,68.992,64.466,69.61,67.85,73.248,65.216
334.0058552082628,72.497,61.105,73.173,67.72,65.209,60.347,76.918,119.441
335.0058560715988,66.561,62.917,77.363,65.684,69.61,68.452,65.753,86.864
336.00585684459656,69.468,61.105,80.95,78.292,69.939,74.469,76.558,64.007
337.0058573987335,69.468,61.043,75.549,94.044,72.317,59.134,76.229,123.495
338.0058580022305,67.171,63.526,82.764,66.297,62.781,58.524,65.753,62.917
339.00585864763707,72.243,61.707,67.171,64.466,69.61,58.524,70.22,65.283
340.00585926230997,72.497,67.375,83.647,64.401,69.336,61.559,69.939,68.585
341.0058598779142,66.22,69.194,88.164,69.274,66.355,69.939,66.027,60.824
342.00586043391377,65.686,63.526,68.382,65.684,69.062,71.962,65.483,64.681
343.00586093124,65.35,63.19,73.248,65.342,68.726,61.231,65.416,68.312
344.00586154684424,68.921,62.917,93.839,67.185,63.721,64.814,68.124,62.852
345.00586209539324,73.098,62.589,67.171,66.902,62.443,65.959,63.93,59.887
346.0058625433594,73.173,66.774,78.574,66.627,62.107,63.93,69.61,63.526
347.005863041617,66.561,71.888,80.341,67.789,63.721,65.416,66.355,62.589
348.00586363021284,72.243,62.589,67.171,69.345,69.062,66.027,66.027,69.468
349.0058642104268,74.94,71.615,73.783,69.007,68.726,64.54,68.796,62.316
350.0058647301048,70.077,79.022,79.786,69.007,64.88,166.137,67.85,131.375
351.00586528051645,75.549,61.707,67.78,69.62,69.407,63.656,64.54,65.216
352.00586589146405,75.268,67.642,78.655,72.33,69.133,61.231,89.467,61.643
353.00586652290076,66.842,71.615,81.552,72.33,64.54,63.93,151.755,65.618
